position COMBINED_rate(cM/Mb) Genetic_Map(cM)
34045 0.384 0.0
34170 0.4972 4.8e-05
35057 0.375 0.000489
35065 0.4919 0.000492
35561 0.4845 0.000736
35658 0.489 0.000783
38165 0.4916 0.002009
39475 0.5433 0.002653
41010 0.7064 0.003487
44808 0.6278 0.00617
45254 0.5771 0.00645
45481 0.5307 0.006581
47354 0.5807 0.007575
51263 0.8629 0.009845
53517 0.8624 0.01179
57275 0.8724 0.015031
60167 0.8854 0.017554
62777 0.8854 0.019865
63972 1.493 0.020923
65074 1.664 0.022568
65187 1.814 0.022756
65659 1.802 0.023612
67196 1.013 0.026381
69021 0.9211 0.02823
69731 0.8661 0.028884
70336 0.859 0.029408
71847 0.8579 0.030706
74163 0.86 0.032693
78955 1.381 0.036814
79278 2.405 0.03726
80407 2.557 0.039975
80854 2.587 0.041118
83094 2.352 0.046913
83879 1.765 0.048759
83947 0.8839 0.048879
85653 0.8762 0.050387
86889 0.8678 0.05147
91661 0.8525 0.055611
92827 0.8496 0.056605
93505 0.8188 0.057181
95034 0.82 0.058433
95284 0.4967 0.058638
95886 0.3558 0.058937
97707 0.3486 0.059585
97816 0.359 0.059623
98011 0.3578 0.059693
102474 0.3583 0.06129
104846 0.3592 0.06214
105322 0.3684 0.062311
105360 0.3586 0.062325
105968 0.3591 0.062543
107143 0.3599 0.062965
111939 0.3616 0.064691
113352 0.3582 0.065202
113419 0.3667 0.065226
113599 0.3571 0.065292
113627 0.3705 0.065302
114936 0.3777 0.065787
117409 0.3766 0.066721
118535 0.3694 0.067145
118692 0.4362 0.067203
120329 0.3394 0.067917
125187 0.3417 0.069566
126744 0.339 0.070098
130720 0.3404 0.071446
132468 0.3425 0.072041
134243 0.4595 0.072649
134391 0.6587 0.072717
135103 0.7143 0.073186
135124 1.062 0.073201
137430 3.721 0.07565
140006 3.722 0.085235
142315 3.744 0.093828
145177 3.643 0.104544
148836 3.574 0.117874
150074 3.572 0.122298
151390 3.582 0.126999
155036 0.4831 0.140058
161244 0.4829 0.143057
162650 0.469 0.143736
171058 0.3653 0.147679
175654 0.2699 0.149358
178307 0.262 0.150074
184365 0.2656 0.151661
184429 0.2599 0.151678
