position COMBINED_rate(cM/Mb) Genetic_Map(cM)
163252 3.746 0.0
191293 3.748 0.105037
201297 2.579 0.142532
202676 2.574 0.146088
203220 2.533 0.147488
203415 2.487 0.147982
207235 2.494 0.157483
208484 2.494 0.160598
208658 2.501 0.161032
209189 2.55 0.16236
209876 3.14 0.164112
209926 3.335 0.164269
210434 3.342 0.165963
210741 3.877 0.166989
212693 3.905 0.174556
212735 3.908 0.17472
212855 3.923 0.175189
213307 3.924 0.176962
215560 3.927 0.185802
223472 3.937 0.216873
223631 3.925 0.217499
228441 4.013 0.236377
228591 4.016 0.236979
231345 4.028 0.248038
231670 4.036 0.249347
231974 4.047 0.250574
232290 4.046 0.251853
233178 4.078 0.255446
233382 4.087 0.256278
233405 4.092 0.256372
234991 4.067 0.262862
236559 4.053 0.269239
236711 4.046 0.269855
236842 4.053 0.270385
237011 4.047 0.27107
237290 4.028 0.272199
237751 3.986 0.274056
237964 3.833 0.274905
237970 3.625 0.274928
237978 3.638 0.274957
238734 3.59 0.277707
239022 3.333 0.278741
239037 3.125 0.278791
239197 2.646 0.279291
239392 2.379 0.279807
240638 2.37 0.282771
245840 2.845 0.295099
253120 2.568 0.315814
258629 3.465 0.329959
258756 3.566 0.330399
259058 4.353 0.331476
259509 4.828 0.333439
259538 5.296 0.333579
259909 5.52 0.335544
260234 12.58 0.337338
260788 28.83 0.344309
260852 29.79 0.346154
261117 45.23 0.354048
261239 45.23 0.359566
261308 45.23 0.362687
261432 45.22 0.368296
261459 45.23 0.369517
263243 45.22 0.450209
263302 45.23 0.452877
263599 32.18 0.466311
263891 29.78 0.475707
264003 15.01 0.479042
264095 11.27 0.480423
264878 11.28 0.489247
266235 11.29 0.504556
270383 11.31 0.551405
276101 11.31 0.616094
276910 11.28 0.625247
278598 3.227 0.644294
279434 3.211 0.646992
279666 3.218 0.647737
280815 3.249 0.651434
282037 3.392 0.655404
282769 3.659 0.657887
283203 7.537 0.659475
285519 7.554 0.676931
289254 9.114 0.705144
289543 9.217 0.707778
289566 9.333 0.70799
290146 9.311 0.713403
291244 9.306 0.723626
293139 11.3 0.741261
296637 12.39 0.780781
299381 12.39 0.814773
301865 11.95 0.845546
302495 11.17 0.853077
302571 10.46 0.853926
305703 9.25 0.886699
310060 8.719 0.927001
313487 8.62 0.956881
318819 8.619 1.002845
322746 7.055 1.036691
322892 4.071 1.037721
323061 3.8 1.038409
324115 6.005 1.042414
324330 6.13 1.043705
329605 6.719 1.076042
329986 6.827 1.078602
332713 8.926 1.097218
333447 8.927 1.10377
338802 5.874 1.151572
343397 5.839 1.178565
348281 5.791 1.207084
348482 5.039 1.208248
348636 5.037 1.209024
348907 4.593 1.210389
350768 4.488 1.218936
351061 4.488 1.220251
354968 4.607 1.237784
360023 5.135 1.261074
360289 5.435 1.26244
360312 5.735 1.262565
360629 5.949 1.264383
362940 5.604 1.278131
364611 5.066 1.287495
366972 4.633 1.299457
368038 4.368 1.304396
368076 4.32 1.304562
368354 3.255 1.305763
368675 2.712 1.306808
368918 0.9818 1.307467
369795 0.8786 1.308328
370594 0.8735 1.30903
371487 0.872 1.30981
372893 0.8725 1.311036
373191 0.8699 1.311296
373337 0.8719 1.311423
376958 0.959 1.31458
378886 0.9934 1.316429
379187 1.075 1.316728
383619 1.11 1.321491
387876 1.096 1.326216
392044 0.8958 1.330783
395394 0.874 1.333784
395521 0.7907 1.333895
395564 0.7309 1.333929
407766 0.7029 1.342847
412832 0.691 1.346408
415725 0.6771 1.348407
421142 1.041 1.352075
422521 22.06 1.353511
426225 21.98 1.435238
427142 21.98 1.455398
427811 2.036 1.470104
428342 1.26 1.471185
428511 0.3381 1.471398
431155 0.35 1.472292
431255 0.3437 1.472327
433545 0.3412 1.473114
434474 0.3478 1.473431
435486 0.5327 1.473783
435685 0.8 1.473889
435885 0.965 1.474049
436199 1.297 1.474352
436748 1.318 1.475064
436858 1.347 1.475209
438357 1.316 1.477228
438395 1.307 1.477278
440669 1.348 1.480249
442185 1.348 1.482293
443347 1.042 1.483859
444466 0.6891 1.485025
445492 0.532 1.485732
494512 0.9257 1.511812
494808 1.746 1.512086
494867 2.49 1.512189
497719 4.043 1.519291
498607 4.14 1.522881
499603 4.01 1.527004
501377 2.162 1.534117
504225 0.3054 1.540273
507211 0.1961 1.541185
508129 0.194 1.541365
510763 0.1941 1.541876
512427 0.2128 1.542199
516793 0.2121 1.543128
516925 0.1987 1.543156
517227 0.1967 1.543216
518076 0.1983 1.543383
518197 0.1918 1.543407
518515 0.1911 1.543468
519656 0.1935 1.543686
519811 0.1908 1.543716
520655 0.1909 1.543877
521640 0.1872 1.544065
521859 0.1908 1.544106
522876 0.1921 1.5443
523511 0.1909 1.544422
524831 0.1932 1.544674
525007 0.2478 1.544708
525354 0.3022 1.544794
527005 0.5041 1.545293
528350 0.7934 1.545971
529231 0.366 1.54667
529761 0.2949 1.546864
531009 0.2853 1.547232
531370 0.2862 1.547335
532656 0.2862 1.547703
532981 0.2874 1.547796
533068 0.2889 1.547821
533608 0.2885 1.547977
533660 0.2873 1.547992
535884 0.1328 1.548631
537247 0.1 1.548812
537257 0.1093 1.548813
